time/iterations,time/total_timesteps,time/fps,rollout/episodes,time/time_elapsed,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,train/loss,train/explained_variance,train/entropy_loss,train/clip_range,train/approx_kl,rollout/ep_rew_mean,rollout/fill_mean,rollout/ep_len_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/fill_mean_true_start,eval/success_rate,eval/mean_ep_length,eval/mean_reward
43,5636096,51239,737,109,168,1.8249884992837906,-0.0015539259075012524,0.033596038818359375,0.00024678476799999997,0.840819239616394,0.9403315186500549,-0.3188349362462759,0.17247488,0.0028652854,41.31119155883789,0.5411494714977302,179.86,0.0,0.0,0.5411494714977302,,,
44,5767168,51325,712,112,172,1.7605933174490929,-0.000977496925770538,0.03704261779785156,0.0002455177386666666,0.8550512790679932,0.9412418603897095,-0.31633817963302135,0.17181952,0.0027475138,41.314064025878906,0.5330316271327507,176.99,0.0,0.0,0.5330316271327507,,,
45,5898240,51365,722,114,176,1.8171603735536337,-0.0012101533338864101,0.04280281066894531,0.00024425070933333334,0.9424498677253723,0.9382246732711792,-0.31395359709858894,0.17116416,0.0046342993,42.27826690673828,0.5401662049861495,182.79,0.0,0.0,0.5401662049861495,,,
46,6029312,51403,738,117,180,1.788422929123044,-0.001186035382488626,0.04015541076660156,0.00024298368,0.8369245529174805,0.9407129287719727,-0.3083611992187798,0.17050880000000002,0.0030662282,41.910194396972656,0.5371206798487738,180.86,0.0,0.0,0.5371206798487738,,,
47,6160384,51469,727,119,184,1.910584218800068,-0.0008922657834773418,0.04588127136230469,0.00024171665066666665,0.9284840226173401,0.9378255009651184,-0.30754398461431265,0.16985344,0.0039262725,41.140010833740234,0.5410701852700937,181.04,0.0,0.0,0.5410701852700937,,,
48,6291456,51490,719,122,188,1.8039374221116304,-0.0009051629313034937,0.04374504089355469,0.00024044962133333334,0.926142156124115,0.939578652381897,-0.30795240215957165,0.16919808,0.0031181439,41.89711380004883,0.5433472415391747,183.94,0.0,0.0,0.5433472415391747,,,
49,6422528,51530,740,124,192,1.7636828441172838,-0.0010459333443577634,0.04232597351074219,0.000239182592,0.8549940586090088,0.9404456615447998,-0.3043285864405334,0.16854272,0.0033912132,42.89540481567383,0.5397731064397732,185.65,0.0,0.0,0.5397731064397732,,,
,6553600,,,,196,1.8095367662608624,-0.0008764889144003973,0.05125617980957031,0.00023791556266666665,0.8277209997177124,0.940753698348999,-0.30392853263765574,0.16788736,0.0031837022,,,,,,,0.0,172.11,41.05894088745117
50,6553600,51090,749,128,,,,,,,,,,,41.84036636352539,0.538330943315367,180.69,0.0,0.0,0.538330943315367,,,
51,6684672,51104,724,130,200,1.828349219635129,0.0005167404942767462,0.06048583984375,0.0002366485333333333,0.9414438009262085,0.9385714530944824,-0.3038032054901123,0.167232,0.010413542,39.08534240722656,0.5296876065752678,165.7,0.0,0.0,0.5296876065752678,,,
52,6815744,51043,719,133,204,1.8212734702974558,0.0008630168103991309,0.09534835815429688,0.000235381504,0.8644590377807617,0.937143862247467,-0.29790599551051855,0.16657664,0.011544996,42.53662109375,0.5420251034530126,184.43,0.0,0.0,0.5420251034530126,,,
53,6946816,50988,760,136,208,1.8402702473104,0.002249432192002132,0.09254264831542969,0.00023411447466666665,0.8963636755943298,0.9371745586395264,-0.29468912724405527,0.16592128,0.010912541,41.82929992675781,0.5373944119558155,181.75,0.0,0.0,0.5373944119558155,,,
54,7077888,51094,723,138,212,1.8324397876858711,0.00023576024887006497,0.08241462707519531,0.0002328474453333333,0.8450248837471008,0.9384998679161072,-0.29094298649579287,0.16526592,0.006527102,41.55317306518555,0.5396069190444478,177.88,0.0,0.0,0.5396069190444478,,,
55,7208960,51148,737,140,216,1.8033828176558018,0.0006776984828320565,0.092010498046875,0.000231580416,0.8736733794212341,0.937784731388092,-0.289241218008101,0.16461056000000002,0.007386959,39.074424743652344,0.532606328626229,166.62,0.0,0.0,0.532606328626229,,,
56,7340032,51081,721,143,220,1.9237207286059856,0.00022467989219876472,0.07822990417480469,0.00023031338666666665,0.94730144739151,0.9334766864776611,-0.2863434269092977,0.16395520000000002,0.0068765306,41.24296951293945,0.5386551600143833,178.08,0.0,0.0,0.5386551600143833,,,
57,7471104,51099,735,146,224,1.8825554437935352,0.0009599555833119666,0.0754547119140625,0.0002290463573333333,0.8789934515953064,0.9363886713981628,-0.2841497319750488,0.16329984,0.008685711,42.08799362182617,0.5425715965398504,183.06,0.0,0.0,0.5425715965398504,,,
58,7602176,51094,761,148,228,1.919884119182825,0.0026526667170401197,0.09491729736328125,0.00022777932799999997,0.974564254283905,0.9339818954467773,-0.2825320274569094,0.16264447999999998,0.014744949,40.71659851074219,0.5413117892311935,174.45,0.0,0.0,0.5413117892311935,,,
59,7733248,51080,722,151,232,2.043350610882044,0.0003464030160102993,0.08049774169921875,0.00022651229866666665,1.021295428276062,0.931686520576477,-0.2814464312978089,0.16198912000000001,0.006129991,43.23446273803711,0.5397045244690674,186.59,0.0,0.0,0.5397045244690674,,,
,7864320,,,,236,1.9280427154153585,0.0014252133660193067,0.08825302124023438,0.0002252452693333333,0.9281228184700012,0.9347257018089294,-0.28570914547890425,0.16133376,0.010108063,,,,,,,0.0,179.71,42.58134460449219
60,7864320,50668,712,155,,,,,,,,,,,40.336036682128906,0.5367596060479956,175.01,0.0,0.0,0.5367596060479956,,,
61,7995392,50612,744,157,240,1.8642054349184036,0.00069919573070365,0.07859039306640625,0.00022397824000000002,0.9341863393783569,0.9358234405517578,-0.2788571654818952,0.1606784,0.0066735037,41.71226119995117,0.5450185848931368,178.79,0.0,0.0,0.5450185848931368,,,
62,8126464,50580,754,160,244,1.8552323039621115,0.0014679140203952556,0.08433151245117188,0.00022271121066666668,0.9846962094306946,0.9387065768241882,-0.27731010084971786,0.16002304,0.0052244933,41.334503173828125,0.5427841634738186,176.55,0.0,0.0,0.5427841634738186,,,
63,8257536,50585,710,163,248,1.8593732435256243,-0.0004011805558548076,0.07610893249511719,0.00022144418133333333,0.8906536102294922,0.9385908246040344,-0.278046983294189,0.15936768,0.004820891,43.06431579589844,0.5384802643018605,186.74,0.0,0.0,0.5384802643018605,,,
64,8388608,50593,741,165,252,1.8550017029047012,-0.0003912706579285441,0.07079315185546875,0.000220177152,0.88792484998703,0.935662031173706,-0.2779525532387197,0.15871232000000002,0.004849566,40.89756774902344,0.5327635327635327,173.48,0.0,0.0,0.5327635327635327,,,
65,8519680,50563,758,168,256,2.0871062017977238,2.185793982789619e-05,0.06956672668457031,0.00021891012266666665,1.083394169807434,0.9300184845924377,-0.27422745805233717,0.15805696,0.003914345,41.66200256347656,0.5367438678784325,179.05,0.0,0.0,0.5367438678784325,,,
66,8650752,50549,732,171,260,2.0444496795535088,-0.00025768512932700105,0.06513023376464844,0.0002176430933333333,0.9756906032562256,0.9342624545097351,-0.277395551558584,0.1574016,0.005268418,41.60288619995117,0.5377116643054712,178.17,0.0,0.0,0.5377116643054712,,,
67,8781824,50498,725,173,264,1.9162878934293985,-0.0006201650448929286,0.06955909729003906,0.00021637606399999996,1.0015627145767212,0.9350153207778931,-0.27624154882505536,0.15674624,0.0049720877,41.105628967285156,0.5367901234567901,175.42,0.0,0.0,0.5367901234567901,,,
68,8912896,50525,747,176,268,1.9311646409332752,0.0031048034334162367,0.09630775451660156,0.00021510903466666668,0.9269081950187683,0.9356400966644287,-0.2748418916016817,0.15609088000000002,0.012472687,41.77079772949219,0.5409622027203465,180.26,0.0,0.0,0.5409622027203465,,,
69,9043968,50531,727,178,272,1.8561049345880747,-1.3945059436082374e-05,0.07170295715332031,0.00021384200533333333,0.9058589935302734,0.9399171471595764,-0.273421639110893,0.15543552,0.005264319,42.178524017333984,0.5387606772292697,182.53,0.0,0.0,0.5387606772292697,,,
,9175040,,,,276,1.9442511033266783,0.0005323802561179036,0.07769393920898438,0.000212574976,1.0481842756271362,0.9359182715415955,-0.27013216307386756,0.15478016,0.0055366326,,,,,,,0.0,177.91,42.52313995361328
70,9175040,50237,727,182,,,,,,,,,,,41.82024002075195,0.5389644573505188,180.81,0.0,0.0,0.5389644573505188,,,
71,9306112,50308,745,184,280,1.8957184851169586,0.0006980263824516442,0.07752799987792969,0.00021130794666666665,0.889738142490387,0.9370169043540955,-0.27071321476250887,0.1541248,0.0068650446,43.033912658691406,0.5474355787554892,187.14,0.0,0.0,0.5474355787554892,,,
72,9437184,50356,732,187,284,1.8199610859155655,-0.0006587314455828164,0.05733299255371094,0.0002100409173333333,0.8383393287658691,0.9404297471046448,-0.26745756855234504,0.15346943999999998,0.0033216723,42.120643615722656,0.5408149497402686,180.41,0.0,0.0,0.5408149497402686,,,
