time/fps,rollout/episodes,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/n_updates,train/explained_variance,train/entropy_loss,train/clip_range,train/loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate,rollout/ep_rew_mean,rollout/win_rate_true_start,rollout/fill_mean_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate
19538,0,201,3932160,15,-6.513139851449523e-06,0.028385239653289318,8.3484928e-05,0.00010776519775390625,5.7057864e-06,56,0.5230683088302612,-0.0014186279031491722,0.09082496000000001,0.01417599432170391,,,,,,,,,
,,,4194304,,-9.826147106650751e-06,0.027206654427573085,8.230528000000001e-05,0.0001621246337890625,9.3153185e-06,60,0.5308429598808289,-0.0014074241635171347,0.0901696,0.013474550098180771,16513.5,248.46957397460938,1.0,,,,,,
14175,0,295,4194304,16,,,,,,,,,,,,,,,,,,,
14676,0,303,4456448,17,-3.3659562177490443e-06,0.027140827136463486,8.1125632e-05,0.00010013580322265625,1.7201112e-06,64,0.5359224081039429,-0.0012523952218543855,0.08951424000000001,0.013041412457823753,,,,,,,,,
15153,0,311,4718592,18,-2.7922569643124007e-06,0.027894362443475984,7.9945984e-05,7.43865966796875e-05,1.3276723e-06,68,0.5303376317024231,-0.0010105288447448402,0.08885888,0.014047292061150074,,,,,,,,,
15601,0,319,4980736,19,-4.8519523261347786e-06,0.027414121708716266,7.876633600000001e-05,7.915496826171875e-05,3.1851e-06,72,0.5351719856262207,-0.0009120332074417092,0.08820352000000001,0.013407072983682156,,,,,,,,,
16031,0,327,5242880,20,-2.624712578835897e-06,0.02652801167278085,7.7586688e-05,7.2479248046875e-05,4.363458e-06,76,0.5400993824005127,-0.0008712823146197479,0.08754816,0.013606972992420197,,,,,,,,,
16448,0,334,5505024,21,-2.88150658889208e-06,0.02574664018175099,7.640704e-05,6.771087646484375e-05,3.5906137e-06,80,0.5505627393722534,-0.0008922057400013728,0.0868928,0.01279304176568985,,,,,,,,,
16848,0,342,5767168,22,-2.22920380110736e-06,0.025506675214273855,7.522739200000001e-05,8.487701416015625e-05,1.4662758e-06,84,0.5570232272148132,-0.0008797130362836469,0.08623744,0.012720214203000069,,,,,,,,,
17229,0,349,6029312,23,-8.294641702377703e-07,0.02565607742872089,7.4047744e-05,0.00010776519775390625,4.096709e-06,88,0.5617808103561401,-0.000916842112019367,0.08558208,0.01344912126660347,,,,,,,,,
,,,6291456,,-5.400795544119319e-06,0.026666590754757635,7.2868096e-05,0.00010395050048828125,1.9798476e-06,92,0.5543723106384277,-0.0010319673956473707,0.08492672000000001,0.012206624262034893,16508.33,248.4750518798828,1.0,,,,,,
14086,0,446,6291456,24,,,,,,,,,,,,,,,,,,,
14422,0,454,6553600,25,-8.166528459696565e-06,0.025930312476702966,7.168844800000001e-05,0.00010013580322265625,2.1465023e-06,96,0.5686625242233276,-0.0010185829273723357,0.08427136,0.012129625305533409,,,,,,,,,
14749,0,462,6815744,26,-3.949753590859473e-06,0.025961261213524267,7.05088e-05,0.000118255615234375,4.2769825e-06,100,0.5810455679893494,-0.0010917596191575285,0.08361600000000001,0.012645921669900417,,,,,,,,,
15062,0,469,7077888,27,-4.829546242035576e-06,0.023431556866853498,6.932915199999999e-05,0.0001125335693359375,2.333285e-06,104,0.6137031316757202,-0.0010654493644324248,0.08296064,0.011292335577309132,,,,,,,,,
15371,0,477,7340032,28,-4.408026143210009e-06,0.02157453760446515,6.8149504e-05,8.20159912109375e-05,2.2672284e-06,108,0.6392078399658203,-0.0011430447352722695,0.08230528000000001,0.010582120157778263,,,,,,,,,
15669,0,485,7602176,29,-4.151058419665787e-06,0.019900040148058906,6.6969856e-05,6.961822509765625e-05,1.7640715e-06,112,0.6787039041519165,-0.001137795117301721,0.08164992,0.009403570555150509,,,,,,,,,
15958,0,492,7864320,30,-5.0351877689536195e-06,0.019325502449646592,6.5790208e-05,0.00012111663818359375,4.1881603e-06,116,0.7073192000389099,-0.001197194134874735,0.08099456000000001,0.008732208982110023,,,,,,,,,
16241,0,500,8126464,31,-5.737746960221557e-06,0.01668622068973491,6.461056e-05,0.00017833709716796875,3.979122e-06,120,0.7518954277038574,-0.0013482187805493595,0.0803392,0.007118523120880127,,,,,,,,,
,,,8388608,,-1.1375927442713873e-05,0.014880947972415015,6.3430912e-05,0.0001506805419921875,4.154085e-06,124,0.7869980335235596,-0.001455096843528736,0.07968384,0.006811684928834438,16445.55,248.53768920898438,1.0,,,,,,
14174,0,591,8388608,32,,,,,,,,,,,,,,,,,,,
14426,0,599,8650752,33,-8.580162102589384e-06,0.012469549648812972,6.225126400000001e-05,0.00024127960205078125,3.464924e-06,128,0.8371081352233887,-0.0016847347615112085,0.07902848000000001,0.004668565932661295,,,,,,,,,
14679,0,607,8912896,34,-7.403228664770722e-06,0.010484300153621007,6.1071616e-05,0.00019168853759765625,5.936059e-06,132,0.8700770139694214,-0.0017086351790567278,0.07837312,0.0044344146735966206,,,,,,,,,
14921,0,614,9175040,35,-9.648537798057077e-06,0.009371685369842453,5.989196800000001e-05,0.0002002716064453125,6.1370165e-06,136,0.8945728540420532,-0.0017079801873478573,0.07771776000000001,0.0045414213091135025,,,,,,,,,
15156,0,622,9437184,36,-1.0441783160786144e-05,0.008894411941582803,5.871232e-05,0.00022220611572265625,5.949386e-06,140,0.9098898768424988,-0.0018858549537981162,0.0770624,0.004404271021485329,,,,,,,,,
15390,0,630,9699328,37,-1.4843329154246021e-05,0.009102273877942935,5.753267200000001e-05,0.000240325927734375,7.692494e-06,144,0.9167301654815674,-0.002060951005660172,0.07640704000000001,0.0046381959691643715,,,,,,,,,
15615,0,637,9961472,38,-1.8295944300916744e-05,0.00896715421549743,5.6353024e-05,0.00025844573974609375,6.2479257e-06,148,0.925180196762085,-0.0022208857253644965,0.07575168,0.003915451932698488,,,,,,,,,
15838,0,645,10223616,39,-1.3553511507780058e-05,0.009495871687249746,5.5173376000000004e-05,0.000286102294921875,4.977649e-06,152,0.9261571764945984,-0.0023666555443924153,0.07509632000000001,0.00473384466022253,,,,,,,,,
,,,10485760,,-2.024919081122789e-05,0.009869955771137029,5.3993728e-05,0.000362396240234375,1.0772207e-05,156,0.9254376888275146,-0.002445134232402779,0.07444096,0.00504544610157609,16330.77,248.65216064453125,1.0,,,,,,
14212,0,737,10485760,40,,,,,,,,,,,,,,,,,,,
