rollout/episodes,time/fps,time/time_elapsed,time/iterations,time/total_timesteps,rollout/success_rate,rollout/win_rate_true_start,train/loss,rollout/ep_rew_mean,train/policy_gradient_loss,rollout/fill_mean_true_start,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/n_updates,train/clip_fraction,train/entropy_loss,train/value_loss,train/clip_range,train/learning_rate,rollout/fill_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
0,45661,0,1,32768,,,,,,,,,,,,,,,,,,,
31,35819,1,2,65536,0.16129032258064516,0.16129032258064516,0.23277747631072998,11.911643028259277,-0.008566970034735277,0.7620967741935484,0.004810356,-0.03566265106201172,57.096774193548384,4,0.010711669921875,-1.2298358120024204,0.5979721359908581,0.19975424,0.000299524864,0.7620967741935484,,,
415,36878,2,3,98304,0.26,0.18795180722891566,0.45950454473495483,14.137718200683594,-0.013545368710765615,0.7698795180722892,0.007578239,0.00044357776641845703,93.28,8,0.03741455078125,-1.0294457376003265,1.1352765168994665,0.19950848000000002,0.000299049728,0.7698795180722892,,,
530,37646,3,4,131072,0.29,0.3113207547169811,1.5638577938079834,14.97082805633545,-0.009397035952133592,0.8670990566037736,0.007983848,-0.010300517082214355,100.17,12,0.0386962890625,-0.8733833450824022,3.8000862449407578,0.19926272,0.000298574592,0.8670990566037736,,,
541,38168,4,5,163840,0.28,0.2754158964879852,2.5433754920959473,14.557365417480469,-0.00642986213642871,0.8532809611829945,0.0055985437,0.01193612813949585,63.63,16,0.02204132080078125,-0.8762693498283625,5.563364624977112,0.19901696,0.000298099456,0.8532809611829945,,,
687,38024,5,6,196608,0.36,0.3158660844250364,2.7194342613220215,15.785065650939941,-0.007308650980121456,0.8675400291120815,0.0067392113,-0.032355427742004395,55.93,20,0.03081512451171875,-0.8029775209724903,6.025953993201256,0.1987712,0.00029762432,0.8675400291120815,,,
760,38204,6,7,229376,0.27,0.31973684210526315,3.2291996479034424,15.055686950683594,-0.004971759670297615,0.8715460526315789,0.00503587,0.04522436857223511,45.31,24,0.0286407470703125,-0.734210042282939,6.961745768785477,0.19852544,0.000297149184,0.8715460526315789,,,
841,38293,6,8,262144,0.42,0.36741973840665876,3.399820566177368,16.8903751373291,-0.0038853988371556625,0.8890457788347206,0.0049001984,0.15203368663787842,40.62,28,0.0221710205078125,-0.6744858454912901,7.3286256194114685,0.19827968,0.000296674048,0.8890457788347206,,,
833,38283,7,9,294912,0.35,0.3673469387755102,3.6983540058135986,16.201026916503906,-0.0024056224719970487,0.8892557022809123,0.0029262304,0.24307888746261597,39.97,32,0.01369476318359375,-0.6242370083928108,7.757208898663521,0.19803392,0.000296198912,0.8892557022809123,,,
884,38343,8,10,327680,0.41,0.3925339366515837,3.885878324508667,16.793867111206055,-0.0026652936649043113,0.8938065610859729,0.0046263756,0.3078954815864563,37.13,36,0.0243988037109375,-0.5903612859547138,7.630403235554695,0.19778816000000002,0.00029572377599999995,0.8938065610859729,,,
930,38252,9,11,360448,0.32,0.3763440860215054,4.051533222198486,15.656316757202148,-0.0021344052875065245,0.8943548387096775,0.0037867248,0.3115367889404297,34.68,40,0.016571044921875,-0.5541534852236509,8.026725679636002,0.1975424,0.00029524864,0.8943548387096775,,,
938,38266,10,12,393216,0.45,0.4136460554371002,4.171713829040527,17.25627899169922,-0.00221247360605048,0.9007196162046909,0.004817992,0.34897440671920776,34.72,44,0.026824951171875,-0.5236796662211418,8.270176470279694,0.19729664000000002,0.00029477350399999996,0.9007196162046909,,,
930,38183,11,13,425984,0.49,0.44623655913978494,4.050101280212402,18.10654640197754,-0.0019760063078138046,0.9095430107526882,0.0026390648,0.3522754907608032,34.45,48,0.0146331787109375,-0.5017647920176387,8.443191528320312,0.19705088,0.00029429836799999996,0.9095430107526882,,,
