time/total_timesteps,curriculum/frontier,time/iterations,time/time_elapsed,rollout/episodes,curriculum/success_rate,time/fps,train/clip_range,train/explained_variance,train/approx_kl,train/value_loss,train/loss,train/learning_rate,train/clip_fraction,train/entropy_loss,train/n_updates,train/policy_gradient_loss,rollout/win_rate_true_start,rollout/fill_mean,rollout/fill_mean_true_start,rollout/ep_rew_mean,rollout/success_rate,rollout/ep_len_mean,eval/mean_ep_length,eval/success_rate,eval/mean_reward
131072,80,1,1,0,nan,103286,,,,,,,,,,,,,,,,,,,
262144,80,2,3,0,nan,68021,0.19934464000000002,-0.16722393035888672,0.0030631875,0.08296063099987805,0.015164989978075027,0.00029873297066666663,0.002994537353515625,-1.636842980980873,4,-0.0038041981806600234,,,,,,,,,
393216,80,3,6,0,nan,62965,0.19868928000000002,0.051043033599853516,0.009693122,0.11941625305917114,0.02028203383088112,0.00029746594133333334,0.06412315368652344,-1.5473285000771284,8,-0.011492914862174075,,,,,,,,,
524288,80,4,8,5,nan,60936,0.19803392,0.03507685661315918,0.011576953,0.2006061978172511,0.05677125230431557,0.000296198912,0.16900062561035156,-1.454897940158844,12,-0.019079862024227623,0.0,0.6246913580246913,0.13580246913580246,3.100796937942505,0.0,100.2,,,
655360,80,5,10,16,nan,60256,0.19737856,0.04436856508255005,0.013024406,0.28043397096917033,0.09650897979736328,0.00029493188266666666,0.20261192321777344,-1.3548970129340887,16,-0.020482123178226175,0.0,0.44598765432098764,0.13950617283950614,5.066379547119141,0.0,172.71428571428572,,,
786432,80,6,13,125,nan,59037,0.19672320000000001,0.10714799165725708,0.015024241,0.3974018064327538,0.14139734208583832,0.0002936648533333333,0.21297836303710938,-1.244318226352334,20,-0.020239560848494875,0.0,0.5652345679012345,0.17959104938271606,6.5182929039001465,0.06,172.7,,,
917504,80,7,15,406,nan,58711,0.19606784000000002,0.23246747255325317,0.016854351,0.5719335866160691,0.21882063150405884,0.00029239782399999997,0.17891502380371094,-1.1272977609187365,24,-0.0166518777514284,0.0,0.6978957611141519,0.23960363872644574,9.277817726135254,0.16,173.18,,,
1048576,80,8,18,1074,0.21893491124260356,58125,0.19541248,0.20964771509170532,0.011852731,1.0531043587252498,0.4380818009376526,0.00029113079466666663,0.12850189208984375,-1.0010262345895171,28,-0.00788463062417577,0.0,0.7386371473894752,0.31841563786008226,9.904869079589844,0.13,166.14,,,
1179648,80,9,20,1749,0.23312535450935903,57710,0.19475712,0.2977476119995117,0.008623971,1.664808988571167,0.7134957909584045,0.0002898637653333333,0.07294273376464844,-0.8468247670680285,32,-0.005536920603844919,0.0,0.812421913050844,0.39158156785042936,10.487401008605957,0.19,143.61,,,
1310720,,,,,,,0.19410176,0.3958251476287842,0.019349873,2.367061438231633,1.128400444984436,0.000288596736,0.11013688712284483,-0.7062130036025211,36,0.0006041382479577743,,,,,,,202.35,0.0,41.69868469238281
1310720,80,10,24,2340,0.24332603938730854,54251,,,,,,,,,,,0.0,0.8556716260419964,0.46851295740184634,10.287941932678223,0.19,123.07,,,
