time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
23,0.2721685689201054,2220,255,28854,6029312,208,0.11216545104980469,0.191349248,0.8768125176429749,1.5126863177865744,0.0123991,0.0002832752128,5.228433474258054e-05,-0.5226684957742691,85,0.6849598288536072,0.8510223113738739,0.26,0.0,23.830150604248047,0.34760322398190047,300.93,,,
,,,,,6291456,,0.1075168185763889,0.19095603200000003,0.8942174911499023,1.672795589323397,0.017890684,0.0002825149952,0.005099597905495169,-0.5071997051989591,87,0.783832311630249,,,,,,,592.16,97.38906860351562,0.0
24,0.2905375388716126,2143,255,28522,6291456,220,,,,,,,,,,,0.8643311800046664,0.24,0.0,17.443119049072266,0.3611587213010204,197.93,,,
25,0.29516423357664234,2078,255,28995,6553600,226,0.11648021024816177,0.19056281600000002,0.8943246603012085,1.8295583549667807,0.035151716,0.0002817547776,0.006343397236538722,-0.5054945051670074,89,0.8721950054168701,0.8645520031280077,0.21,0.0,22.618009567260742,0.37171105893782386,263.06,,,
26,0.3,1827,255,29567,6815744,230,0.13718959263392858,0.1901696,0.895459771156311,1.831302183015006,0.02203184,0.00028099455999999994,0.01292932974839849,-0.5064808811460223,90,0.9104893207550049,0.8619406814449918,0.21,0.0,24.652177810668945,0.3729624459654179,248.9,,,
27,0.29240631163708086,1816,255,29599,7077888,239,0.0948486328125,0.18977638400000002,0.8939045667648315,1.6869596308097243,0.0068034395,0.0002802343424,-0.000553784129806445,-0.5159369353204966,94,0.7678437232971191,0.878878286756608,0.27,0.0,18.13558006286621,0.3573133680555556,175.47,,,
28,0.2951501154734411,1982,255,30088,7340032,243,0.0857815212673611,0.18938316800000002,0.8809465765953064,1.820214158958859,0.01267328,0.00027947412479999997,0.0062781170450357925,-0.5117633839448293,95,0.9289878010749817,0.877309851160444,0.26,0.0,24.912965774536133,0.3451917389589905,218.1,,,
29,0.32296781232951444,1688,255,30445,7602176,249,0.12005771734775642,0.18898995200000002,0.8726925849914551,1.8979402841665807,0.035861723,0.0002787139072,0.008151668422401715,-0.512673685948054,97,0.9293466806411743,0.8442197682168247,0.22,0.0,26.48261070251465,0.3397887323943662,178.46,,,
30,0.30926724137931033,1710,255,30712,7864320,256,0.12812389026988635,0.18859673600000001,0.8862701654434204,1.7110573450724285,0.033059202,0.0002779536896,0.003962161546841151,-0.5090938607851664,100,0.8935925960540771,0.8462399488304093,0.16,0.0,22.732301712036133,0.3414327330508475,158.76,,,
31,0.3291005291005291,1714,255,31181,8126464,260,0.11931501116071429,0.18820352,0.8837510347366333,1.9853354011263167,0.017464034,0.00027719347199999997,0.0074396216909268075,-0.5047154937471662,101,0.9585447907447815,0.8583950189614936,0.29,0.0,27.182456970214844,0.34308690200617287,168.61,,,
