time/iterations,curriculum/success_rate,rollout/episodes,curriculum/frontier,time/fps,time/total_timesteps,time/time_elapsed,train/clip_fraction,train/clip_range,train/explained_variance,train/value_loss,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/loss,rollout/fill_mean,rollout/success_rate,rollout/win_rate_true_start,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/ep_len_mean,eval/mean_ep_length,eval/mean_reward,eval/success_rate
87,0.6867469879518072,962,231,33817,22806528,674,0.10432147979736328,0.166183424,0.8906183838844299,1.7820402355864644,0.013561659,0.00023462128639999998,0.00284958425527293,-0.2605203231796622,253,0.8045964241027832,0.7851643711018711,0.55,0.0,40.7653694152832,0.36544410654362414,225.68,,,
,,,,,23068672,,0.09698486328125,0.165790208,0.9073876142501831,1.75383354537189,0.00720075,0.00023386106879999996,0.0021890896723562037,-0.2541946755954996,257,0.8249041438102722,,,,,,,589.3,99.56192016601562,0.0
88,0.5879120879120879,886,231,33584,23068672,686,,,,,,,,,,,0.7617937006207675,0.26,0.0,44.79141616821289,0.3801684736394558,289.67,,,
89,0.38461538461538464,978,231,33706,23330816,692,0.08968505859375,0.16539699200000002,0.9140937328338623,1.838076150417328,0.011727711,0.0002331008512,0.006604115773613254,-0.2454473872979482,258,0.9590786695480347,0.7488097520449898,0.21,0.0,39.74970245361328,0.38052472741433024,281.38,,,
90,0.28363324764353043,954,231,33864,23592960,696,0.1176513671875,0.165003776,0.9001081585884094,2.2643502235412596,0.032194454,0.00023234063359999998,0.015146838128566742,-0.24047399759292604,259,1.0862077474594116,0.7597164897798742,0.25,0.0,49.5616569519043,0.3716653963414634,339.45,,,
91,0.27703826955074873,1031,231,34031,23855104,700,0.11588541666666667,0.16461056000000002,0.9048992991447449,2.1308646996816,0.030503593,0.000231580416,0.017897723708301783,-0.2292995552221934,260,1.1493337154388428,0.7498901248787585,0.19,0.0,35.690399169921875,0.37537993920972645,260.67,,,
92,0.222537207654146,1191,231,34147,24117248,706,0.1109323212594697,0.16421734400000002,0.8940505981445312,2.4481750184839424,0.07269549,0.0002308201984,0.009026168521042124,-0.22691806654135385,262,1.3638949394226074,0.7920077665827037,0.12,0.0,32.265594482421875,0.36787109375,255.46,,,
93,0.18681318681318682,1097,231,34103,24379392,714,0.08238029479980469,0.163824128,0.904449462890625,2.1860485188663006,0.0057133157,0.0002300599808,-1.014378540276084e-06,-0.22856832318939269,266,0.96021968126297,0.8015005412488605,0.14,0.0,28.293560028076172,0.36882071659482757,237.49,,,
94,0.16102332580887885,1072,231,34215,24641536,720,0.06922638721955128,0.163430912,0.9185652732849121,2.108820365025447,0.03352615,0.00022929976319999997,0.0041397493317699395,-0.22185890758648896,268,1.0479621887207031,0.7954320195895522,0.13,0.0,26.980541229248047,0.3807709619341564,230.51,,,
95,0.14170927684441198,1116,231,34183,24903680,728,0.06921195983886719,0.163037696,0.9185605049133301,2.089745182543993,0.003546082,0.0002285395456,0.0010629890057316516,-0.2163459655130282,272,1.0204880237579346,0.7956009184587813,0.13,0.0,34.079551696777344,0.37618610829959515,281.5,,,
,,,,,25165824,,0.09186299641927083,0.16264447999999998,0.9302511215209961,1.9581090609232585,0.016652724,0.00022777932799999997,0.007830814099482572,-0.21230529807507992,273,0.9569990634918213,,,,,,,604.43,86.81683349609375,0.0
96,0.15076474872541878,1109,231,34061,25165824,738,,,,,,,,,,,0.800245857754734,0.05,0.0,27.30622100830078,0.3732123940677966,254.84,,,
97,0.11704312114989733,1169,231,34031,25427968,747,0.08308792114257812,0.162251264,0.9307828545570374,1.7865420766174793,0.005432067,0.00022701911039999998,0.0008634201858512824,-0.2156370683806017,277,0.901378333568573,0.8116111526946108,0.1,0.0,22.478988647460938,0.35267052283653844,222.05,,,
98,0.09601081812035159,1165,231,33990,25690112,755,0.09174251556396484,0.161858048,0.9352908134460449,1.7461316753178835,0.008619465,0.0002262588928,0.0015304470061892061,-0.21816364512778819,281,0.8159803748130798,0.8190853004291846,0.05,0.0,20.705429077148438,0.3519405241935484,225.61,,,
99,0.06901217861975643,1162,231,34101,25952256,761,0.07639447380514706,0.161464832,0.9450104832649231,1.6739348032895256,0.03463813,0.0002254986752,0.004187000864048433,-0.22388892270186367,283,0.8270699977874756,0.817962699010327,0.04,0.0,16.767236709594727,0.351753566576087,193.79,,,
100,0.06400550584996559,1153,231,34213,26214400,766,0.11581105199353449,0.16107161600000003,0.9484996199607849,1.6212504403344516,0.016790308,0.00022473845759999998,0.009009341432327598,-0.22754259304753666,284,0.8250681161880493,0.8076722408933218,0.06,0.0,21.6572265625,0.3429296875,203.81,,,
101,0.07247386759581882,1136,231,34185,26476544,774,0.09691905975341797,0.1606784,0.9396891593933105,1.571616105735302,0.0066808113,0.00022397824000000002,0.0021337476218832307,-0.23228526825550944,288,0.7006853222846985,0.8121561399647887,0.04,0.0,26.470651626586914,0.36263992537313433,240.4,,,
102,0.0685785536159601,1327,231,34309,26738688,779,0.10851287841796875,0.160285184,0.945060133934021,1.7373706623911858,0.01828867,0.00022321802239999998,0.009560099788359366,-0.22972828801721334,289,0.870841920375824,0.8180046627731725,0.01,0.0,18.619592666625977,0.3577809697309417,181.44,,,
103,0.05392809587217044,1230,231,34441,27000832,783,0.12750244140625,0.159891968,0.9388868808746338,1.833511660496394,0.020445876,0.0002224578048,0.009773162882387018,-0.24655809377630553,290,0.9429661631584167,0.803515625,0.01,0.0,25.61157989501953,0.3538754111842105,229.48,,,
,,,,,27262976,,0.123291015625,0.159498752,0.9481070041656494,1.5948916673660278,0.023851804,0.00022169758719999997,0.011594919924391434,-0.24197211116552353,291,0.7999910116195679,,,,,,,615.16,91.2260971069336,0.0
104,0.04754937820043892,1105,231,34356,27262976,793,,,,,,,,,,,0.7858703337104073,0.03,0.0,25.429759979248047,0.35405724789915966,231.3,,,
105,0.04729214340198322,1037,231,34499,27525120,797,0.13997395833333334,0.159105536,0.9516507387161255,1.5539451837539673,0.048675116,0.00022093736959999995,0.02523583748067419,-0.2398051122824351,292,0.8500887751579285,0.7838792791706847,0.02,0.0,24.553808212280273,0.3467747511061947,227.25,,,
106,0.044926413632842756,979,231,34465,27787264,806,0.10985088348388672,0.15871232000000002,0.9556481838226318,1.2527264598757029,0.011407584,0.000220177152,0.0026974134334523114,-0.24066767236217856,296,0.6098654866218567,0.796444075587334,0.02,0.0,23.467086791992188,0.3475315824468085,243.97,,,
107,0.03728070175438596,1041,231,34462,28049408,813,0.10915411086309523,0.158319104,0.9604861736297607,1.1366335988044738,0.025991578,0.00021941693439999998,0.0033363068831108863,-0.23842832318374088,300,0.5492332577705383,0.8087551032660903,0.06,0.0,23.794696807861328,0.34799494219653176,246.36,,,
108,0.06417546709991877,958,231,34584,28311552,818,0.11807861328125,0.15792588800000001,0.9553552269935608,1.2639767289161683,0.0213237,0.0002186567168,0.011624775687232613,-0.23242277503013611,301,0.6670877933502197,0.7779798408141962,0.04,0.0,28.486600875854492,0.3619390143171806,254.46,,,
109,0.09361069836552749,1104,231,34718,28573696,823,0.115325927734375,0.157532672,0.9442173838615417,1.5152317583560944,0.0262455,0.0002178964992,0.01564860437065363,-0.22606078907847404,302,0.7394505143165588,0.7841938405797102,0.1,0.0,33.08964157104492,0.36122214147286824,281.43,,,
110,0.10469591993841416,1090,231,34676,28835840,831,0.12391090393066406,0.157139456,0.9313428401947021,1.5080161932855844,0.018537851,0.0002171362816,0.0059190937790845055,-0.22353103617206216,306,0.7028278708457947,0.7675602064220184,0.1,0.0,27.8703670501709,0.36882517182130586,240.69,,,
111,0.11322188449848024,1053,231,34636,29097984,840,0.10729598999023438,0.15674624,0.9397112131118774,1.4256012625992298,0.016148806,0.00021637606399999996,0.0042262419101462,-0.2160592720611021,310,0.624456524848938,0.7928722993827161,0.07,0.0,28.15520668029785,0.3713409810126582,245.85,,,
,,,,,29360128,,0.0891009831832627,0.156353024,0.9450445175170898,1.4668310658406403,0.014074462,0.0002156158464,0.004954106324368109,-0.20843906902660758,312,0.8247801065444946,,,,,,,589.04,92.82219696044922,0.0
112,0.10603829160530191,1120,231,34492,29360128,851,,,,,,,,,,,0.787890625,0.14,0.0,25.540075302124023,0.3735537929389313,220.97,,,
113,0.1092814371257485,1080,231,34581,29622272,856,0.10172416068412163,0.15595980799999998,0.9357658624649048,1.6828648915161957,0.022534527,0.00021485562879999999,0.006755731571969148,-0.20835044416221413,314,0.7914855480194092,0.7959056712962963,0.13,0.0,34.10834503173828,0.3880795338114754,292.73,,,
114,0.15285599356395815,959,231,34716,29884416,860,0.108795166015625,0.155566592,0.9412658214569092,1.666711002588272,0.027465891,0.00021409541119999997,0.01707287412136793,-0.19710255041718483,315,0.8543856143951416,0.7973474973931178,0.12,0.0,32.726707458496094,0.3829210069444444,274.36,,,
115,0.19696969696969696,980,231,34678,30146560,869,0.04996681213378906,0.155173376,0.938987135887146,1.4908255273476243,0.0026739712,0.00021333519359999998,-0.0010504899642000964,-0.19456368894316256,319,0.6794942021369934,0.7962093431122449,0.13,0.0,30.346790313720703,0.3720616703539823,254.26,,,
116,0.24623911322248615,971,231,34641,30408704,877,0.06427669525146484,0.15478016,0.9300448894500732,1.7957662642002106,0.007919742,0.000212574976,0.0009574108062224695,-0.1914489046903327,323,0.7214815616607666,0.8092494850669413,0.24,0.0,33.15071105957031,0.3687274639423077,280.34,,,
117,0.31166666666666665,936,231,34663,30670848,884,0.08388562148876405,0.154386944,0.934064507484436,1.5503022697534454,0.018162575,0.0002118147584,0.003885904834553432,-0.18652368445744674,326,0.7399595379829407,0.7924387353098291,0.22,0.0,39.951454162597656,0.3706965042372881,319.62,,,
118,0.3371996685998343,936,231,34633,30932992,893,0.06991100311279297,0.153993728,0.9353317022323608,1.4810179062187672,0.0032192087,0.0002110545408,0.001454073428249103,-0.17887495644390583,330,0.718094527721405,0.7966037326388888,0.23,0.0,33.86442565917969,0.36534525109170307,276.63,,,
119,0.3610411418975651,904,231,34590,31195136,901,0.05703544616699219,0.15360051200000002,0.9360601305961609,1.5025309827178717,0.008196086,0.0002102943232,0.0005066239418738405,-0.17374078079592437,334,0.656879186630249,0.8041732923119469,0.38,0.0,33.77020263671875,0.37455985915492956,260.84,,,
,,,,,31457280,,0.044826507568359375,0.153207296,0.9405326843261719,1.3938807742670178,0.0036598332,0.00020953410559999998,-0.0007222038984764367,-0.16985584993381053,338,0.6887079477310181,,,,,,,584.72,95.12651062011719,0.0
120,0.39065108514190316,858,231,34384,31457280,914,,,,,,,,,,,0.835309222027972,0.35,0.0,37.83831024169922,0.3655517578125,292.75,,,
121,0.4583333333333333,842,231,34367,31719424,922,0.039539337158203125,0.15281408000000002,0.9404417276382446,1.3469451637938619,0.0024812177,0.000208773888,-0.0009207716452692694,-0.163910842849873,342,0.6270799040794373,0.8191619655581948,0.37,0.0,36.801971435546875,0.3751233552631579,289.08,,,
122,0.49471830985915494,824,231,34339,31981568,931,0.03990936279296875,0.152420864,0.9408149719238281,1.3241021949797869,0.0028242134,0.00020801367039999997,-0.0007028428399280529,-0.16250855720136315,346,0.5644207000732422,0.8205210861650486,0.4,0.0,37.79174041748047,0.37510388962765956,289.31,,,
123,0.5469422911283376,872,231,34306,32243712,939,0.04201793670654297,0.152027648,0.9438086748123169,1.2140210252255201,0.002393019,0.00020725345279999998,-0.0008581254774071567,-0.1567003153031692,350,0.6289610266685486,0.8204155318233946,0.49,0.0,41.450439453125,0.3850340639810427,290.61,,,
124,0.5938349954669084,813,231,34287,32505856,948,0.04760932922363281,0.15163443199999999,0.943030834197998,1.2314898408949375,0.003026274,0.00020649323519999997,-0.00017436538473702967,-0.1525968798669055,354,0.5762696266174316,0.8124087100246002,0.48,0.0,42.97072219848633,0.3820684523809524,310.33,,,
125,0.592048401037165,857,231,34263,32768000,956,0.04399871826171875,0.151241216,0.9437863230705261,1.2055276148021221,0.0028546248,0.0002057330176,-0.0001860150405263994,-0.14842329418752342,358,0.5925549268722534,0.825426633605601,0.42,0.0,42.45820617675781,0.386953125,312.86,,,
126,0.6115916955017301,842,231,34240,33030144,964,0.040825843811035156,0.150848,0.9420528411865234,1.21610838919878,0.002676626,0.0002049728,-0.00017586331841812353,-0.14445346302818507,362,0.5418635010719299,0.8368885466152018,0.55,0.0,45.701072692871094,0.3836945564516129,319.99,,,
127,0.6390728476821192,907,231,34336,33292288,969,0.0416552734375,0.150454784,0.9411259889602661,1.28468692779541,0.0054285713,0.0002042125824,0.0031066352548077703,-0.1414669930934906,363,0.6725780963897705,0.8349770879272327,0.49,0.0,36.5692024230957,0.37386149497487436,271.84,,,
,,,,,33554432,,0.06399154663085938,0.150061568,0.9350581169128418,1.4123607138171792,0.0035900609,0.0002034523648,0.00178591364328895,-0.14204963215161115,367,0.6188910603523254,,,,,,,608.44,95.83275604248047,0.0
128,0.6004842615012107,912,231,34129,33554432,983,,,,,,,,,,,0.8503717790570176,0.4,0.0,40.218910217285156,0.3832866690751445,302.13,,,
129,0.5810055865921788,940,231,34110,33816576,991,0.037652015686035156,0.149668352,0.9358574748039246,1.5079233096912503,0.0023228102,0.0002026921472,9.945919964593486e-05,-0.1431880679447204,371,0.6445613503456116,0.8456823470744681,0.55,0.0,37.2491340637207,0.38734542112299464,271.9,,,
130,0.600997506234414,865,231,34086,34078720,999,0.0805196762084961,0.149275136,0.9375849962234497,1.3190846145153046,0.008230705,0.00020193192959999998,0.005115170481076348,-0.14058996527455747,375,0.6556530594825745,0.8509980130057804,0.52,0.0,38.8708381652832,0.37439718364197533,280.2,,,
131,0.6089068825910932,910,231,34065,34340864,1008,0.0430908203125,0.14888192,0.9404712915420532,1.2713522892445326,0.003468309,0.00020117171199999996,-0.0003058851052628597,-0.14069899986498058,379,0.6162148118019104,0.8485877403846154,0.53,0.0,44.272796630859375,0.3665178571428571,318.25,,,
132,0.6107784431137725,836,231,34041,34603008,1016,0.04736518859863281,0.148488704,0.936458945274353,1.357570992782712,0.0033925031,0.00020041149439999997,0.00014216951376511133,-0.14161662384867668,383,0.6634765863418579,0.8443714488636364,0.43,0.0,46.3389892578125,0.3735263847305389,332.09,,,
133,0.6199484092863284,822,231,34017,34865152,1024,0.06080341339111328,0.148095488,0.9433459043502808,1.1761346329003572,0.0041068816,0.00019965127679999998,0.0015532415568486613,-0.1412205167580396,387,0.5186669826507568,0.8524178832116789,0.52,0.0,41.08135223388672,0.38502358490566035,309.69,,,
134,0.6590509666080844,778,231,33993,35127296,1033,0.06508541107177734,0.147702272,0.9416978359222412,1.2523113740608096,0.002911753,0.0001988910592,0.0028757583368133055,-0.139710184186697,391,0.7234870791435242,0.8624327201156813,0.47,0.0,46.211910247802734,0.3790736607142857,329.16,,,
135,0.6989247311827957,777,231,33974,35389440,1041,0.03125,0.147309056,0.9417451024055481,1.2169987857341766,0.001636893,0.0001981308416,-0.0007643738604201644,-0.13916729006450623,395,0.6589540839195251,0.8501095962033463,0.56,0.0,47.670318603515625,0.37182162267080743,330.75,,,
,,,,,35651584,,0.06361083984375,0.14691584000000002,0.9399811029434204,1.3104235649108886,0.01847415,0.000197370624,0.012239190889522434,-0.14386463761329651,396,0.6646533012390137,,,,,,,587.31,95.83394622802734,0.0
136,0.6865203761755486,950,231,33921,35651584,1051,,,,,,,,,,,0.8613034539473684,0.45,0.0,37.73434066772461,0.38665140086206895,276.7,,,
137,0.46174863387978143,1168,231,34029,35913728,1055,0.09086100260416667,0.14652262400000002,0.922970175743103,1.6299455960591633,0.031219443,0.00019661040640000003,0.020505630876868963,-0.16207181413968405,397,0.9152923226356506,0.8404524293664384,0.29,0.0,26.424795150756836,0.3626685049019608,226.23,,,
138,0.2857142857142857,1140,231,34130,36175872,1059,0.082763671875,0.14612940800000002,0.9022902250289917,2.7439211209615073,0.014981397,0.0001958501888,0.009211162415643534,-0.17135052548514473,398,1.2568140029907227,0.8500445449561403,0.2,0.0,27.660133361816406,0.3584735576923077,250.91,,,
139,0.26604068857589985,950,231,34110,36438016,1068,0.06931209564208984,0.14573619200000001,0.924721896648407,1.8764210240915418,0.007415806,0.0001950899712,0.0013130395859661803,-0.17096592776942998,402,0.9437282085418701,0.8217763157894736,0.19,0.0,31.1099910736084,0.361827761627907,271.07,,,
140,0.26062091503267976,885,231,34087,36700160,1076,0.0662546157836914,0.14534297599999998,0.9388620257377625,1.6508640451356769,0.0057805674,0.00019432975359999998,0.0007636675723006192,-0.17069849302060902,406,0.7673715353012085,0.821879413841808,0.23,0.0,31.366443634033203,0.3548136645962733,274.6,,,
141,0.3356828193832599,794,231,34062,36962304,1085,0.09739875793457031,0.14494975999999998,0.938658595085144,1.4805579436942935,0.016267851,0.00019356953599999996,0.005176478616704117,-0.16537024406716228,410,0.7125893235206604,0.8253158454030227,0.35,0.0,38.671878814697266,0.36519752358490565,299.18,,,
142,0.40937781785392247,793,231,34038,37224448,1093,0.07828426361083984,0.144556544,0.937944233417511,1.372074382379651,0.008770136,0.0001928093184,0.002360762936859828,-0.16416854062117636,414,0.6439210772514343,0.8103720050441362,0.31,0.0,39.586212158203125,0.36385444972826086,314.85,,,
143,0.48598130841121495,737,231,34018,37486592,1101,0.061745643615722656,0.144163328,0.9299451112747192,1.472740402445197,0.004130176,0.00019204910079999998,0.000979109433501435,-0.15955261641647667,418,0.6850351691246033,0.8210280274762551,0.46,0.0,42.86005401611328,0.3628134356287425,311.0,,,
,,,,,37748736,,0.06281757354736328,0.143770112,0.9310190677642822,1.3660895200446248,0.0034387994,0.00019128888320000002,0.0009528510699965409,-0.154428034205921,422,0.5915541052818298,,,,,,,580.1,95.46113586425781,0.0
144,0.5730442978322338,759,231,33860,37748736,1114,,,,,,,,,,,0.8088973978919631,0.42,0.0,46.93672180175781,0.37302714646464646,364.35,,,
145,0.6126954921803128,812,231,33836,38010880,1123,0.05499267578125,0.143376896,0.9324941039085388,1.3192224381491542,0.0033770697,0.0001905286656,0.0003354466243763454,-0.14953071111813188,426,0.6053754091262817,0.7992274091748769,0.53,0.0,45.7494010925293,0.3702951388888889,331.66,,,
146,0.6669847328244275,762,231,33817,38273024,1131,0.061293601989746094,0.14298368,0.9335286021232605,1.3067104136571288,0.004279338,0.000189768448,0.0012658096175073297,-0.1433516264660284,430,0.5631420016288757,0.8017911335301837,0.58,0.0,50.623355865478516,0.3704001168224299,367.71,,,
147,0.684981684981685,765,231,33792,38535168,1140,0.06125354766845703,0.142590464,0.9316751956939697,1.3447421919554472,0.007275639,0.0001890082304,0.0019800480463345593,-0.13595276069827378,434,0.7491832971572876,0.8353758169934641,0.62,0.0,52.649497985839844,0.3819770592485549,371.58,,,
148,0.677797833935018,792,231,33831,38797312,1146,0.06310317095588236,0.142197248,0.9340456128120422,1.264254564748091,0.021641964,0.0001882480128,0.004482664368183845,-0.1330305288600571,437,0.5922238826751709,0.8329584911616161,0.51,0.0,47.65425109863281,0.3842136548913043,336.82,,,
149,0.7082969432314411,831,231,33810,39059456,1155,0.060558319091796875,0.141804032,0.9307941198348999,1.3673615464940667,0.0022791787,0.0001874877952,0.0021007931891290355,-0.1331557541852817,441,0.617058515548706,0.8435384702166066,0.55,0.0,52.430519104003906,0.3918850806451613,380.56,,,
150,0.7222222222222222,818,231,33876,39321600,1160,0.06003220016891892,0.141410816,0.9292027354240417,1.3315529114491231,0.031135583,0.00018672757759999998,0.005397733338680622,-0.1310603087012832,443,0.6738812327384949,0.8399965617359413,0.56,0.0,46.46614074707031,0.3804984714673913,334.92,,,
151,0.696969696969697,828,231,33861,39583744,1169,0.07119178771972656,0.1410176,0.9260568022727966,1.29542482085526,0.00390552,0.00018596736,0.0027933362352996483,-0.13258697849232703,447,0.6025556325912476,0.8441085446859904,0.51,0.0,42.20530319213867,0.372042088150289,315.76,,,
,,,,,39845888,,0.07106876373291016,0.140624384,0.9253390431404114,1.3327858187258244,0.0042386362,0.0001852071424,0.002681163522083807,-0.13283498771488667,451,0.5898221731185913,,,,,,,620.01,93.29125213623047,0.0
152,0.6878661087866109,825,231,33628,39845888,1184,,,,,,,,,,,0.8752130681818182,0.63,0.0,43.317928314208984,0.3708233173076923,333.13,,,
153,0.7216054654141759,818,231,33728,40108032,1189,0.08026123046875,0.14023116800000002,0.9316472411155701,1.274030864238739,0.025707517,0.0001844469248,0.010495912050828338,-0.12968499585986137,452,0.6149536371231079,0.8647568383251834,0.72,0.0,44.34870529174805,0.3611819727891156,312.34,,,
154,0.7776689520078355,662,231,33713,40370176,1197,0.0651559829711914,0.13983795200000002,0.9267071485519409,1.168807340785861,0.003887655,0.00018368670720000002,0.0027088430474577763,-0.12801402009790763,456,0.5286747217178345,0.8546957609516617,0.63,0.0,49.633487701416016,0.3818151595744681,347.58,,,
155,0.843155031731641,758,223,33804,40632320,1201,0.06849161783854167,0.139444736,0.9389970302581787,1.024767463405927,0.012976431,0.0001829264896,0.008041234725775817,-0.12609841426213583,457,0.4972909688949585,0.8619568354221636,0.62,0.0,48.66770553588867,0.37457157258064516,343.36,,,
156,0.7821939586645469,815,223,33900,40894464,1206,0.07781982421875,0.13905152,0.9311341047286987,1.360403150320053,0.02425604,0.000182166272,0.018456945661455393,-0.12292344868183136,458,0.7117258310317993,0.8421108128834356,0.59,0.0,47.129451751708984,0.3797043010752688,341.61,,,
157,0.7426597582037997,831,223,33881,41156608,1214,0.06571769714355469,0.13865830399999998,0.9299684166908264,1.0995468171313405,0.004806166,0.00018140605439999997,0.002253459174426098,-0.12504872831050307,462,0.5192464590072632,0.8475622367629362,0.49,0.0,42.152374267578125,0.3810287210982659,298.67,,,
158,0.7216216216216216,765,223,33862,41418752,1223,0.05901050567626953,0.13826508799999998,0.9463090896606445,1.0490059833973646,0.0043964256,0.00018064583679999998,0.0012907671562061296,-0.12488075433066115,466,0.4921976923942566,0.8449295343137255,0.54,0.0,43.711551666259766,0.37008568548387094,329.51,,,
159,0.7088974854932302,702,223,33848,41680896,1231,0.07256412506103516,0.137871872,0.9560790061950684,0.8880970943719149,0.0071560876,0.0001798856192,0.0036742321026395075,-0.12413603294407949,470,0.4206242859363556,0.821258457977208,0.48,0.0,44.0373420715332,0.37941778273809523,343.73,,,
,,,,,41943040,,0.06471920013427734,0.137478656,0.9578976631164551,0.8491205894388258,0.0042879963,0.00017912540159999998,0.002296288274010294,-0.12288938806159422,474,0.39139649271965027,,,,,,,593.53,95.05767822265625,0.0
160,0.6544117647058824,594,223,33688,41943040,1245,,,,,,,,,,,0.8123750526094277,0.44,0.0,43.787109375,0.3708461707746479,363.96,,,
161,0.613277133825079,614,223,33671,42205184,1253,0.050673484802246094,0.13708544,0.9576209783554077,0.8298352914862335,0.004167339,0.00017836518400000001,0.0002337222817914153,-0.12039069685852155,478,0.362665593624115,0.7937512723941368,0.41,0.0,49.81636047363281,0.366500946969697,394.72,,,
162,0.589171974522293,588,223,33652,42467328,1261,0.06267642974853516,0.13669222400000003,0.9531819224357605,0.8801344251260161,0.0049681272,0.0001776049664,0.001937549938702432,-0.11792692408198491,482,0.3835564851760864,0.8033721301020408,0.37,0.0,42.3232307434082,0.3706121575342466,357.84,,,
163,0.6002066115702479,631,223,33638,42729472,1270,0.054920196533203125,0.136299008,0.951242208480835,0.8944876245222986,0.0038035559,0.0001768447488,0.0014000345681779436,-0.11459244310390204,486,0.3870979845523834,0.8030531893819335,0.42,0.0,46.817562103271484,0.3690567484662577,383.52,,,
164,0.5551504102096627,768,223,33687,42991616,1276,0.06125296798406863,0.135905792,0.9498869776725769,0.966924365829019,0.014077911,0.0001760845312,0.005102275494102608,-0.10901892039121366,488,0.5369593501091003,0.8126169840494791,0.41,0.0,37.31172561645508,0.3622304459064328,349.32,,,
165,0.49691629955947136,774,223,33667,43253760,1284,0.07347869873046875,0.135512576,0.9377702474594116,1.1974057899788022,0.010002828,0.0001753243136,0.0032956528821159736,-0.11250995146110654,492,0.5369044542312622,0.8382842781007752,0.37,0.0,39.69157791137695,0.3770514838129496,359.49,,,
166,0.49157303370786515,718,223,33656,43515904,1292,0.06250953674316406,0.13511936,0.947547197341919,1.1144934017211199,0.010934624,0.000174564096,0.0029949012441647938,-0.11236773792188615,496,0.5259596705436707,0.8174344968662952,0.37,0.0,40.61827850341797,0.3709375,372.79,,,
167,0.5574257425742575,634,223,33641,43778048,1301,0.06168651580810547,0.134726144,0.9522355198860168,0.9862085808999836,0.0040504998,0.00017380387839999997,0.0023459533931600163,-0.10946657176828012,500,0.452398419380188,0.8389072358044164,0.52,0.0,43.10536193847656,0.3699281754032258,395.7,,,
,,,,,44040192,,0.05118370056152344,0.134332928,0.9557492136955261,0.8686761762946844,0.003161482,0.00017304366079999998,0.0012202831649119616,-0.10661798348883167,504,0.4438788592815399,,,,,,,600.39,95.19085693359375,0.0
168,0.590042372881356,579,223,33495,44040192,1314,,,,,,,,,,,0.8124460276338514,0.44,0.0,45.61321258544922,0.3798611111111111,407.86,,,
169,0.5909568874868559,561,223,33480,44302336,1323,0.06465721130371094,0.133939712,0.9541212916374207,0.8707837089896202,0.0045165457,0.0001722834432,0.003854366189443681,-0.10461891128215939,508,0.39491644501686096,0.8409230169340464,0.5,0.0,47.10673904418945,0.3775923295454545,404.34,,,
170,0.6459627329192547,591,223,33534,44564480,1328,0.0550927734375,0.13354649600000001,0.9557368159294128,0.8460084164142608,0.0135659445,0.0001715232256,0.004680240005254746,-0.10232395336031913,510,0.4306759238243103,0.8403923434856176,0.55,0.0,49.689823150634766,0.3863125,421.26,,,
171,0.6777442094662638,662,223,33623,44826624,1333,0.077362060546875,0.13315328,0.9502382278442383,0.9992607980966568,0.033086855,0.000170763008,0.01724051882047206,-0.10149914585053921,511,0.5020403861999512,0.8155329493957704,0.45,0.0,47.306556701660156,0.37698779585798814,414.52,,,
172,0.6328767123287671,718,223,33711,45088768,1337,0.061436244419642856,0.132760064,0.9369893074035645,1.1824442999703544,0.013215648,0.00017000279040000002,0.007494832621887326,-0.10747769474983215,512,0.6202616095542908,0.8472427750696379,0.39,0.0,47.4495849609375,0.344385162601626,401.49,,,
173,0.62970498474059,581,223,33694,45350912,1345,0.04757404327392578,0.13236684799999998,0.9373739361763,1.0535466773435473,0.0031277942,0.00016924257279999998,0.001085697801954666,-0.10355459724087268,516,0.4871174693107605,0.8612777000860585,0.62,0.0,50.84568405151367,0.36471619897959184,435.4,,,
174,0.7275607180570222,578,223,33684,45613056,1354,0.0421905517578125,0.131973632,0.9507986903190613,0.8091513332910836,0.002774208,0.0001684823552,0.0005167998624528991,-0.1029033888480626,520,0.38850969076156616,0.8399383650519031,0.58,0.0,55.950347900390625,0.3784887881679389,440.74,,,
175,0.787434554973822,594,223,33669,45875200,1362,0.04991722106933594,0.13158041599999998,0.9503000378608704,0.7615347993560135,0.0065041194,0.00016772213759999998,0.0016771512046034331,-0.10075078211957589,524,0.3617032766342163,0.8355626578282829,0.6,0.0,51.35987854003906,0.37536533273381295,441.2,,,
,,,,,46137344,,0.059073448181152344,0.1311872,0.9469905495643616,0.7997376215644181,0.0037323632,0.00016696191999999999,0.003814099810369953,-0.09699118253774941,528,0.3433981239795685,,,,,,,583.13,93.06807708740234,0.0
176,0.7984665936473165,531,223,33546,46137344,1375,,,,,,,,,,,0.846935322504708,0.66,0.0,53.36417007446289,0.3812897245762712,436.91,,,
177,0.812972972972973,561,215,33532,46399488,1383,0.041983604431152344,0.130793984,0.9522312879562378,0.7274276274256408,0.0027672434,0.0001662017024,0.0004999802331440151,-0.0963986333226785,532,0.30730053782463074,0.8353386809269162,0.63,0.0,54.668418884277344,0.38439223345588236,442.67,,,
178,nan,585,215,33522,46661632,1391,0.0417633056640625,0.130400768,0.9522032737731934,0.7242038850672543,0.0028538737,0.0001654414848,0.0004997546570848499,-0.09578047977993265,536,0.30288198590278625,0.8527577457264958,0.62,0.0,48.022281646728516,0.36930071721311475,398.79,,,
