curriculum/frontier,time/total_timesteps,time/iterations,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,rollout/ep_len_mean,rollout/success_rate,train/explained_variance,rollout/ep_rew_mean,train/approx_kl,rollout/win_rate_true_start,train/learning_rate,rollout/fill_mean,train/n_updates,train/entropy_loss,rollout/fill_mean_true_start,train/value_loss,train/clip_range,train/loss,train/clip_fraction,train/policy_gradient_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length
15,32768,1,nan,49330,0,0,,,,,,,,,,,,,,,,,,,
15,65536,2,nan,38544,1,68,36.044117647058826,0.39705882352941174,-0.03566265106201172,10.71495532989502,0.004750251,0.0975609756097561,0.000298099456,0.8465073529411765,4,-1.2298590205609798,0.7576219512195121,0.5981473941355944,0.19901696,0.23298749327659607,0.01049041748046875,-0.008514858505805023,,,
15,98304,3,0.75,38361,2,933,38.78,0.65,-0.01082468032836914,12.532220840454102,0.007481956,0.23670212765957446,0.000296198912,0.8944935691318328,8,-1.02745970338583,0.78125,1.2666293121874332,0.19803392,0.5065456628799438,0.0338134765625,-0.012345302529865876,,,
15,131072,4,0.7241045498547919,38468,3,2072,21.2,0.65,-0.012239456176757812,10.029800415039062,0.005356359,0.2964426877470356,0.00029429836799999996,0.9427787162162162,12,-0.78956482373178,0.8633893280632411,7.023599803447723,0.19705088,3.188368558883667,0.01842498779296875,-0.006266559059440624,,,
15,163840,5,0.7555350553505535,38588,4,1962,15.02,0.72,0.10681843757629395,11.37597942352295,0.004657116,0.3299319727891156,0.00029239782399999997,0.9567405708460754,16,-0.714344434440136,0.8624574829931972,11.79173794388771,0.19606784000000002,5.596125602722168,0.02072906494140625,-0.006004102859151317,,,
15,196608,6,0.8110014104372355,38624,5,2076,16.43,0.66,0.08596491813659668,10.954568862915039,0.005416409,0.28507795100222716,0.00029049728,0.9525228805394991,20,-0.7262317128479481,0.852728285077951,10.3848996758461,0.1950848,4.893443584442139,0.01961517333984375,-0.006004980532452464,,,
15,229376,7,0.8460136674259681,38473,5,2177,12.0,0.79,-0.002953648567199707,12.0389986038208,0.0041079978,0.36099585062240663,0.000288596736,0.961070280202113,24,-0.658784044906497,0.8774636929460581,10.845535516738892,0.19410176,5.283052444458008,0.02276611328125,-0.004287478965125047,,,
15,262144,8,0.8795833333333334,38209,6,2442,13.99,0.72,-0.008724212646484375,12.127009391784668,0.004914494,0.35239852398523985,0.00028669619199999996,0.9633753071253072,28,-0.609249422326684,0.8767297047970479,10.496376693248749,0.19311872000000002,4.9824347496032715,0.023223876953125,-0.003964026087487582,,,
15,294912,9,0.8993314982304365,37923,7,2552,11.67,0.83,0.02461695671081543,12.719329833984375,0.0030097188,0.41846758349705304,0.00028479564799999997,0.971664380877743,32,-0.538340812548995,0.8974705304518664,11.03762412071228,0.19213568000000003,5.346532344818115,0.0175628662109375,-0.0029353090067161247,,,
,327680,,,,,,,,0.07825499773025513,,0.0025707795,,0.000282895104,,36,-0.5041796769946814,,10.028262287378311,0.19115264,4.896948337554932,0.01248931884765625,-0.0027268353951512836,0.47,17.859664916992188,31.33
14,327680,10,0.9216518718641451,36324,9,2647,14.56,0.79,,13.376439094543457,,0.38848920863309355,,0.971500755572346,,,0.8900629496402878,,,,,,,,
13,360448,11,0.9015109121432568,36472,9,2306,13.36,0.88,0.1203269362449646,14.197639465332031,0.0032847426,0.4277456647398844,0.00028099455999999994,0.970321986123157,40,-0.4632453825324774,0.9030587668593449,10.166906863451004,0.1901696,5.000955104827881,0.0200347900390625,-0.0028562307852553204,,,
