time/fps,time/total_timesteps,time/time_elapsed,rollout/episodes,time/iterations,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,rollout/win_rate_true_start,train/value_loss,train/n_updates,rollout/fill_mean,train/clip_range,train/explained_variance,rollout/ep_rew_mean,train/loss,train/approx_kl,rollout/success_rate,rollout/ep_len_mean,rollout/fill_mean_true_start,train/clip_fraction,eval/mean_reward,eval/success_rate,eval/mean_ep_length
37611,327680,8,908,10,,,,0.40198237885462557,,,0.8913133259911894,,,17.092615127563477,,,0.42,38.38,0.8913133259911894,,,,
37768,360448,9,893,11,-0.5623621512204409,-0.00212671378540108,0.00028099455999999994,0.3807390817469205,8.673127442598343,40,0.8904675251959686,0.1901696,0.2954345941543579,16.49431800842285,4.264313220977783,0.0025184967,0.37,36.68,0.8904675251959686,0.01450347900390625,,,
37818,393216,10,913,12,-0.5366190746426582,-0.0021580425491265487,0.00027909401599999996,0.4085432639649507,8.243786469101906,44,0.8966319824753559,0.18918656,0.34517019987106323,16.015186309814453,4.079951286315918,0.0038734935,0.36,35.81,0.8966319824753559,0.022796630859375,,,
37935,425984,11,931,13,-0.5160411167889833,-0.0022683953284285963,0.00027719347199999997,0.4103114930182599,8.386807054281235,48,0.9011143931256713,0.18820352,0.3672773838043213,16.746456146240234,4.137474060058594,0.0036284453,0.4,34.54,0.9011143931256713,0.02803802490234375,,,
38126,458752,12,954,14,-0.5003906656056643,-0.0011789923373726197,0.000275292928,0.44654088050314467,8.34321403503418,52,0.90625,0.18722048000000002,0.38966459035873413,17.096776962280273,4.287346363067627,0.0034752954,0.42,34.22,0.90625,0.0226898193359375,,,
38152,491520,12,947,15,-0.4782369425520301,-0.0016513216542080045,0.000273392384,0.4276663146779303,8.510051548480988,56,0.9023231256599789,0.18623744,0.3620729446411133,17.407575607299805,4.22487211227417,0.0032609948,0.45,33.42,0.9023231256599789,0.02031707763671875,,,
38220,524288,13,940,16,-0.4661674713715911,-0.0021418981850729324,0.00027149184,0.4946808510638298,8.486265391111374,60,0.9208776595744681,0.1852544,0.3852715492248535,17.386066436767578,4.042407512664795,0.0038803646,0.44,34.93,0.9208776595744681,0.0272979736328125,,,
38299,557056,14,953,17,-0.4473287668079138,-0.0015660587814636528,0.00026959129599999997,0.46799580272822666,8.266986414790154,64,0.9127098635886673,0.18427136,0.36498069763183594,17.236696243286133,4.109747409820557,0.001776067,0.44,34.3,0.9127098635886673,0.01950836181640625,,,
38359,589824,15,960,18,-0.44071072712540627,-0.0023058151637087576,0.000267690752,0.5104166666666666,8.674693256616592,68,0.9243489583333333,0.18328832,0.35938674211502075,19.466459274291992,4.290806770324707,0.0030687822,0.59,34.54,0.9243489583333333,0.024871826171875,,,
38324,622592,16,940,19,-0.4206619318574667,-0.0011336647694406565,0.000265790208,0.5414893617021277,8.60516506433487,72,0.9246010638297872,0.18230528000000001,0.3473750948905945,19.46584701538086,4.295170307159424,0.0031198955,0.59,35.15,0.9246010638297872,0.029052734375,,,
,655360,,,,-0.41536277532577515,-0.001454841829399811,0.00026388966399999996,,8.56160694360733,76,,0.18132224,0.33816349506378174,,4.4759674072265625,0.0029830104,,,,0.02698516845703125,19.720046997070312,0.6,30.95
37799,655360,17,897,20,,,,0.5351170568561873,,,0.9271878483835005,,,18.055585861206055,,,0.49,35.41,0.9271878483835005,,,,
37842,688128,18,944,21,-0.4087549028918147,-0.0013747410193900578,0.00026198911999999997,0.5434322033898306,8.002062693238258,80,0.9268405720338984,0.1803392,0.3552655577659607,17.686187744140625,4.151304244995117,0.0025554625,0.48,34.81,0.9268405720338984,0.02590179443359375,,,
37837,720896,19,926,22,-0.4013946047052741,-0.0017760706177796237,0.000260088576,0.5615550755939525,8.444744944572449,84,0.9340577753779697,0.17935616000000001,0.34957414865493774,19.115877151489258,4.003615379333496,0.0031305857,0.57,35.12,0.9340577753779697,0.0299835205078125,,,
37864,753664,19,944,23,-0.3913607643917203,-0.001236668864294188,0.000258188032,0.5614406779661016,8.078588455915451,88,0.932865466101695,0.17837312000000002,0.35854941606521606,18.37671661376953,3.9655656814575195,0.0019026956,0.51,34.28,0.932865466101695,0.01627349853515625,,,
37845,786432,20,899,24,-0.3890055473893881,-0.001869889263616642,0.000256287488,0.5773081201334817,8.360190480947495,92,0.9334677419354839,0.17739008,0.37024062871932983,19.11520767211914,4.134017467498779,0.0034680972,0.56,35.79,0.9334677419354839,0.0325469970703125,,,
