curriculum/frontier,time/iterations,time/total_timesteps,curriculum/success_rate,time/fps,time/time_elapsed,rollout/episodes,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/value_loss,train/n_updates,train/loss,train/entropy_loss,rollout/ep_rew_mean,rollout/fill_mean_true_start,rollout/win_rate_true_start,rollout/ep_len_mean,rollout/fill_mean,rollout/success_rate,eval/mean_ep_length,eval/success_rate,eval/mean_reward
80,10,1310720,0.15214619634509138,50762,25,2480,,,,,,,,,,,12.006505966186523,0.4828007167188454,0.0,144.51,0.8358074472321784,0.14,,,
80,11,1441792,0.17671517671517672,50602,28,2332,0.00028732970666666666,0.5841447114944458,-0.0011373296383681009,0.04609489440917969,0.19344640000000002,0.0033031828,2.712561935186386,40,1.250741720199585,-0.6290612118318677,8.542799949645996,0.5104229912973082,0.0,88.21,0.8771467293479871,0.07,,,
80,12,1572864,0.1918967052537845,50310,31,2068,0.0002860626773333333,0.6954948902130127,-0.00028668984305113554,0.054866790771484375,0.19279104,0.007945698,2.5449775494635105,44,1.2512930631637573,-0.6030265120789409,11.15665054321289,0.4653017406640595,0.0,64.36,0.8820832437853714,0.16,,,
80,13,1703936,0.18305882352941177,50251,33,2076,0.00028479564799999997,0.7134307026863098,-0.0021273637776175747,0.01488494873046875,0.19213568000000003,0.0021657948,2.6740190498530865,48,1.3160370588302612,-0.5948914922773838,12.901004791259766,0.4653855629465385,0.0,80.01,0.8515247746140489,0.16,,,
80,14,1835008,0.19019518837948252,50136,36,2211,0.00028352861866666663,0.7468196153640747,-0.0017888631191453896,0.04610252380371094,0.19148032,0.010739166,2.7482224591076374,52,1.3631824254989624,-0.5668968483805656,11.287012100219727,0.4933411101390104,0.0,64.0,0.8528792624978363,0.17,,,
80,15,1966080,0.21591417076441663,49978,39,2206,0.0002822615893333333,0.7845475673675537,0.00012640968634514138,0.051906585693359375,0.19082496000000002,0.003371683,2.945135898888111,56,1.4958211183547974,-0.5320365922525525,10.824009895324707,0.49595935665587415,0.0,57.0,0.8623171373246925,0.17,,,
80,16,2097152,0.2162043152796125,49922,42,2205,0.00028099455999999994,0.7925173044204712,-0.0011185147795913508,0.047107696533203125,0.1901696,0.0047718594,3.1902932301163673,60,1.455790638923645,-0.508120174985379,11.758170127868652,0.5029584115605621,0.0,62.84,0.8718904845888972,0.2,,,
80,17,2228224,0.22274881516587677,49888,44,2304,0.00027972753066666666,0.8153543472290039,-0.0014062071895750705,0.03653717041015625,0.18951424000000003,0.004183063,3.1070150695741177,64,1.5289688110351562,-0.487126505933702,11.789691925048828,0.5089844848298954,0.0,61.32,0.867139274691358,0.18,,,
80,18,2359296,0.21810699588477367,49784,47,2421,0.0002784605013333333,0.8422452211380005,0.0004604078403644962,0.05040168762207031,0.18885888,0.00892348,3.1655941009521484,68,1.6433409452438354,-0.46469003055244684,12.590855598449707,0.5071283095723014,0.0,70.16,0.8693071427478696,0.11,,,
80,19,2490368,0.21983683984542723,49601,50,2268,0.00027719347199999997,0.8633862137794495,-0.0015214776612992864,0.011615753173828125,0.18820352,0.0013790253,3.23942007124424,72,1.6246609687805176,-0.4589709588326514,12.301002502441406,0.5143564217216456,0.0,60.01,0.8756994796089446,0.22,,,
,,2621440,,,,,0.0002759264426666667,0.8718574047088623,-0.0013293862830323633,0.0092010498046875,0.18754816000000002,0.0012927934,3.107991401106119,76,1.552834153175354,-0.4583147270604968,,,,,,,182.09,0.0,41.198936462402344
80,20,2621440,0.2385279418446161,48309,54,2166,,,,,,,,,,,12.421629905700684,0.4998008761449622,0.0,59.38,0.8642032306236677,0.22,,,
80,21,2752512,0.2567747667703243,48377,56,2231,0.00027465941333333334,0.8682912588119507,-0.0015234864531521453,0.013868331909179688,0.18689280000000003,0.0015593786,3.2730580009520054,80,1.6823129653930664,-0.4466256955638528,13.704133033752441,0.5068672839506173,0.0,66.88,0.8655145508574463,0.23,,,
80,22,2883584,0.2613438045375218,48358,59,2254,0.000273392384,0.8741211891174316,-0.0012536109970824327,0.011819839477539062,0.18623744,0.0014544363,3.2280167415738106,84,1.5881267786026,-0.4378264625556767,12.827901840209961,0.516220405109294,0.0,63.11,0.8730103957847228,0.22,,,
80,23,3014656,0.29361510791366907,48381,62,2191,0.00027212535466666666,0.8788778781890869,-0.0015365723957074806,0.01422882080078125,0.18558208,0.0017466086,3.2225932478904724,88,1.618137240409851,-0.4256045473739505,11.615370750427246,0.5189679329579401,0.0,55.64,0.869781541773022,0.23,,,
