curriculum/frontier,time/fps,rollout/episodes,curriculum/success_rate,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_range,train/approx_kl,rollout/ep_len_mean,train/learning_rate,rollout/fill_mean,rollout/success_rate,train/loss,train/value_loss,rollout/win_rate_true_start,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,rollout/ep_rew_mean,train/n_updates,rollout/fill_mean_true_start,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,eval/success_rate
1,35572,850,0.625,21,19,688128,0.1803392,0.0021784506,37.73,0.00026198911999999997,0.9407352941176471,0.62,3.875974655151367,7.747165247797966,0.6152941176470588,0.3730308413505554,0.01869964599609375,-0.0015288790891645476,19.833267211914062,80,0.9407352941176471,-0.4168389942497015,,,
1,35688,870,0.625,22,20,720896,0.17935616000000001,0.0033431405,37.89,0.000260088576,0.9415948275862069,0.63,3.6504602432250977,7.14520438015461,0.6229885057471264,0.37708431482315063,0.02787017822265625,-0.001805277745006606,19.963106155395508,84,0.9415948275862069,-0.408261782489717,,,
1,35764,877,0.625,23,21,753664,0.17837312000000002,0.0022174572,37.87,0.000258188032,0.93942417331813,0.58,3.576488494873047,7.187735885381699,0.6168757126567845,0.37308889627456665,0.01624298095703125,-0.0012740503952954896,19.313129425048828,88,0.93942417331813,-0.4021276030689478,,,
1,35765,876,0.625,24,21,786432,0.17739008,0.0031824878,36.58,0.000256287488,0.9439212328767124,0.56,3.7696521282196045,7.410144492983818,0.6210045662100456,0.36797595024108887,0.03630828857421875,-0.0016429891329607926,18.954416275024414,92,0.9439212328767124,-0.39241121243685484,,,
1,35854,883,0.625,25,22,819200,0.17640704000000001,0.0032870094,37.85,0.00025438694399999997,0.9503822197055493,0.71,3.6930174827575684,7.293137729167938,0.6534541336353341,0.38120216131210327,0.03725433349609375,-0.0010838055022759363,20.903148651123047,96,0.9503822197055493,-0.3856372255831957,,,
1,35903,852,0.625,26,23,851968,0.17542400000000002,0.0022912135,37.44,0.0002524864,0.9453491784037559,0.61,3.556640863418579,7.017084613442421,0.6314553990610329,0.3768851161003113,0.022247314453125,-0.0011751732345146593,19.773557662963867,100,0.9453491784037559,-0.37703671492636204,,,
1,35908,856,0.625,27,24,884736,0.17444096,0.003058309,37.67,0.000250585856,0.9460426401869159,0.67,3.4037179946899414,7.082314342260361,0.6530373831775701,0.39045989513397217,0.03534698486328125,-0.0014834438079560641,20.483325958251953,104,0.9460426401869159,-0.3669155929237604,,,
1,35942,890,0.625,28,25,917504,0.17345792000000002,0.002788762,37.59,0.000248685312,0.9468398876404495,0.59,3.6480703353881836,6.804348677396774,0.6528089887640449,0.396056592464447,0.02297210693359375,-0.0013186487121856771,19.413406372070312,108,0.9468398876404495,-0.36547610349953175,,,
1,36000,841,0.625,29,26,950272,0.17247488,0.002132696,39.25,0.00024678476799999997,0.9545927467300832,0.78,3.739037036895752,7.04961821436882,0.6884661117717004,0.38692641258239746,0.02593231201171875,-0.0012183051767351571,21.97174835205078,112,0.9545927467300832,-0.35807891096919775,,,
,,,,,,983040,0.17149184,0.0018268267,,0.000244884224,,,3.2453505992889404,6.288135275244713,,0.37898993492126465,0.01581573486328125,-0.0011411657906137407,,116,,-0.35202790331095457,40.74,19.640138626098633,0.64
1,35386,882,0.625,30,27,983040,,,38.44,,0.9570578231292517,0.76,,,0.691609977324263,,,,21.852558135986328,,0.9570578231292517,,,,
1,35480,855,0.625,31,28,1015808,0.17050880000000002,0.0032426773,37.6,0.00024298368,0.9573099415204679,0.7,3.076321840286255,6.399602547287941,0.695906432748538,0.38240212202072144,0.033966064453125,-0.001094646680940059,20.97339630126953,120,0.9573099415204679,-0.34794980846345425,,,
1,35547,865,0.625,32,29,1048576,0.16952576,0.0023375559,37.01,0.00024108313599999995,0.9489161849710983,0.68,3.344526529312134,6.396969527006149,0.6497109826589595,0.39041996002197266,0.02671051025390625,-0.0013287449364725035,20.713987350463867,124,0.9489161849710983,-0.3396547641605139,,,
1,35581,849,0.625,33,30,1081344,0.16854272,0.00292542,36.79,0.000239182592,0.9575235571260307,0.72,3.4283065795898438,6.936628311872482,0.7102473498233216,0.4016268253326416,0.02983856201171875,-0.0015952445755829103,21.274206161499023,128,0.9575235571260307,-0.3370385142043233,,,
1,35613,859,0.625,34,31,1114112,0.16755968,0.002983457,38.82,0.00023728204799999998,0.9554714784633295,0.72,2.9922142028808594,6.094894394278526,0.6984866123399301,0.406946063041687,0.03448486328125,-0.0012253756140125915,21.252178192138672,132,0.9554714784633295,-0.330059383995831,,,
1,35621,832,0.625,35,32,1146880,0.16657664,0.0025882497,37.89,0.000235381504,0.9599609375,0.71,3.0102133750915527,6.329604372382164,0.7295673076923077,0.3951624631881714,0.0310821533203125,-0.0013105106190778315,20.99310302734375,136,0.9599609375,-0.32541200146079063,,,
1,35650,868,0.625,36,33,1179648,0.1655936,0.001985289,37.84,0.00023348095999999998,0.9608294930875576,0.7,2.8631796836853027,5.734191179275513,0.728110599078341,0.3934389352798462,0.02495574951171875,-0.0008458736556349322,20.913156509399414,140,0.9608294930875576,-0.3174953255802393,,,
1,35710,854,0.625,37,33,1212416,0.16461056000000002,0.003097801,38.81,0.000231580416,0.9637002341920374,0.75,2.801557779312134,5.891773298382759,0.7435597189695551,0.4059719443321228,0.042724609375,-0.00016365851115551777,21.732187271118164,144,0.9637002341920374,-0.3113042898476124,,,
1,35757,857,0.625,38,34,1245184,0.16362752,0.0029685237,38.41,0.00022967987199999998,0.9569719953325554,0.71,2.6556172370910645,5.553921729326248,0.6884480746791132,0.4324376583099365,0.0349884033203125,-0.0016084486815088894,21.192584991455078,148,0.9569719953325554,-0.3045945381745696,,,
1,35796,868,0.625,39,35,1277952,0.16264447999999998,0.001982119,38.11,0.00022777932799999997,0.9612615207373272,0.73,3.1242473125457764,6.309637486934662,0.728110599078341,0.4382251501083374,0.022216796875,-0.0014388744566531386,21.382884979248047,152,0.9612615207373272,-0.3046691957861185,,,
,,,,,,1310720,0.16166144,0.0024507656,,0.000225878784,,,2.9369027614593506,5.899207502603531,,0.429157555103302,0.02626800537109375,-0.0016370737757824827,,156,,-0.29960912745445967,40.55,20.380367279052734,0.67
1,35412,874,0.625,40,37,1310720,,,38.15,,0.9674628146453089,0.76,,,0.7608695652173914,,,,21.76284408569336,,0.9674628146453089,,,,
1,35494,909,0.625,41,37,1343488,0.1606784,0.001797559,37.79,0.00022397824000000002,0.9608085808580858,0.77,2.739744186401367,5.324115723371506,0.7293729372937293,0.43491190671920776,0.01861572265625,-0.0011094282963313162,21.75320816040039,160,0.9608085808580858,-0.2954823235049844,,,
1,35556,868,0.625,42,38,1376256,0.15969536,0.0021316363,37.02,0.00022207769599999998,0.9671658986175116,0.71,3.1989173889160156,6.390059769153595,0.7511520737327189,0.4228060245513916,0.02613067626953125,-0.0012708057984127663,21.19397735595703,164,0.9671658986175116,-0.29305122699588537,,,
1,35604,879,0.625,43,39,1409024,0.15871232000000002,0.002063867,37.49,0.000220177152,0.9707764505119454,0.83,2.9556312561035156,5.702864155173302,0.7747440273037542,0.4293663501739502,0.0242767333984375,-0.0010079077037516981,22.743507385253906,168,0.9707764505119454,-0.2862909287214279,,,
1,35590,892,0.625,44,40,1441792,0.15772928,0.0026006144,36.0,0.000218276608,0.9669983183856502,0.78,2.6124165058135986,5.28490149974823,0.7612107623318386,0.44694364070892334,0.02727508544921875,-0.0006725344574078918,22.034996032714844,172,0.9669983183856502,-0.2817775337025523,,,
1,35622,897,0.625,45,41,1474560,0.15674624,0.001381835,36.83,0.00021637606399999996,0.9613294314381271,0.77,2.7361888885498047,5.576703190803528,0.7413600891861761,0.45152539014816284,0.021240234375,-0.0008080727166088764,22.034164428710938,176,0.9613294314381271,-0.28318206034600735,,,
1,35616,899,0.625,46,42,1507328,0.1557632,0.002199849,34.58,0.00021447551999999998,0.9682981090100111,0.76,2.9045090675354004,6.007960483431816,0.764182424916574,0.44450265169143677,0.03130340576171875,-0.0009322770638391376,21.706418991088867,180,0.9682981090100111,-0.27601377107203007,,,
1,35633,872,0.625,47,43,1540096,0.15478016,0.0034078436,36.8,0.000212574976,0.9635894495412844,0.8,2.823000192642212,5.4508001655340195,0.7305045871559633,0.4653090238571167,0.0402069091796875,-0.0006757820556231309,22.414194107055664,184,0.9635894495412844,-0.27690012473613024,,,
1,35656,917,0.625,48,44,1572864,0.15379712,0.0032686235,36.68,0.000210674432,0.9679661941112323,0.74,2.8373677730560303,5.675270602107048,0.7600872410032715,0.4684877395629883,0.047271728515625,0.00011761375208152458,21.444318771362305,188,0.9679661941112323,-0.27573428861796856,,,
1,35710,917,0.625,49,44,1605632,0.15281408000000002,0.0017955631,35.72,0.000208773888,0.9719874591057798,0.79,2.7069528102874756,5.682976558804512,0.7840785169029444,0.46267586946487427,0.0283966064453125,-0.0011190601217094809,22.265274047851562,192,0.9719874591057798,-0.2718145214021206,,,
,,,,,,1638400,0.15183104,0.001650821,,0.00020687334399999998,,,2.5328879356384277,5.183971747756004,,0.46251851320266724,0.01738739013671875,-0.0007974089676281437,,196,,-0.2642289539799094,36.89,22.664064407348633,0.84
1,35359,874,0.625,50,46,1638400,,,36.09,,0.9704662471395881,0.82,,,0.7871853546910755,,,,22.494905471801758,,0.9704662471395881,,,,
1,35384,882,0.625,51,47,1671168,0.150848,0.0017954437,36.36,0.0002049728,0.9720096371882087,0.79,2.3254895210266113,4.914928540587425,0.7845804988662132,0.4694276452064514,0.02127838134765625,-0.0012706821762549225,22.18463706970215,200,0.9720096371882087,-0.267956149764359,,,
1,35419,905,0.625,52,48,1703936,0.14986496,0.0015969131,36.67,0.000203072256,0.9687154696132597,0.76,2.600628137588501,5.149078503251076,0.7745856353591161,0.4801355004310608,0.023406982421875,-0.0012957359540450852,21.914329528808594,204,0.9687154696132597,-0.2640832345932722,,,
